source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
archive_session3,1,5t:142.251.43.131:443-172.17.93.240:51546/17,12,575,3.5875,160.28,47.92,24.12,30,97,0.326138,0.845983,0.0,2.988425,4,0.0,web
archive_session3,0,5t:142.251.43.238:443-172.17.93.240:51200/17,18,9942,0.7513,13233.8,552.33,540.51,31,1258,0.044192,0.070395,0.0,0.247274,5,0.0,web
archive_session3,0,cid:f85258b25cba0f8f,7,715,0.4063,1759.79,102.14,131.08,39,421,0.067716,0.111975,0.000168,0.312475,2,1.0,data
archive_session4,0,5t:172.17.93.240:63562-172.217.24.110:443/17,12,7776,0.1276,60961.08,648.0,551.55,32,1258,0.011596,0.016181,0.0,0.047303,1,0.0,web
archive_session4,1,5t:172.17.93.240:63562-172.217.24.110:443/17,5,428,0.086,4974.66,85.6,77.99,30,233,0.021509,0.022444,0.0,0.052651,1,0.0,web
archive_session4,0,cid:e2bd5e15a390d7d9,8,2018,0.0932,21642.85,252.25,398.5,39,1258,0.01332,0.010716,0.000385,0.025478,1,1.0,data
archive_session4,0,5t:142.251.43.131:443-172.17.93.240:62938/17,43,9244,3.9879,2318.03,214.98,407.45,31,1258,0.094949,0.459589,0.0,2.978208,4,0.0,web
archive_session4,1,5t:142.251.43.131:443-172.17.93.240:62938/17,15,1080,3.7181,290.47,72.0,64.67,32,285,0.26558,0.762115,0.0,2.982515,4,0.0,web
archive_session4,0,5t:142.251.221.110:443-172.17.93.240:58955/17,12,4587,0.1968,23312.08,382.25,464.77,32,1258,0.017888,0.029043,0.0,0.078216,1,0.0,web
archive_session4,0,cid:e09c978127fb61a4,5,575,0.1527,3766.38,115.0,150.51,38,416,0.038167,0.034493,0.000414,0.079732,1,1.0,data
archive_session5,0,5t:142.251.43.206:443-172.17.93.240:49675/17,19,11082,0.2741,40425.36,583.26,553.53,32,1258,0.01523,0.027382,0.0,0.116421,2,0.0,web
archive_session5,0,cid:e212a2a0a803e6e8,8,1968,0.1298,15166.96,246.0,401.18,39,1258,0.018537,0.029724,0.000506,0.08273,1,1.0,data
archive_session5,0,5t:142.251.43.131:443-172.17.93.240:62694/17,44,9509,4.0256,2362.13,216.11,403.13,31,1258,0.093619,0.448929,0.0,2.935828,4,0.0,web
archive_session5,1,5t:142.251.43.131:443-172.17.93.240:62694/17,12,815,3.5995,226.42,67.92,53.62,32,178,0.327231,0.845761,0.0,2.985937,4,0.0,web
archive_session5,0,5t:142.251.223.14:443-172.17.93.240:52992/17,14,6004,0.2065,29073.24,428.86,489.48,32,1258,0.015886,0.043356,0.0,0.165031,2,0.0,web
archive_session5,0,cid:f02480361987db12,9,1959,0.1873,10461.38,217.67,385.98,39,1258,0.023408,0.053664,0.000261,0.165296,2,1.0,data
browse_session1,0,5t:172.17.93.240:57140-172.217.24.14:443/17,24,9890,0.3498,28274.04,412.08,497.41,30,1258,0.015208,0.027675,0.0,0.107531,2,0.0,web
browse_session1,1,5t:172.17.93.240:57140-172.217.24.14:443/17,11,972,3.444,282.23,88.36,84.63,32,314,0.344404,0.891957,0.0,3.015718,4,0.0,web
browse_session1,2,5t:172.17.93.240:57140-172.217.24.14:443/17,6,525,3.7782,138.95,87.5,58.9,30,180,0.75564,1.445599,0.0,3.646223,2,0.0,web
browse_session1,0,cid:e9aec4755604edec,21,3160,0.3192,9899.76,150.48,266.93,39,1258,0.01596,0.028215,0.000131,0.107535,2,1.0,data
browse_session1,1,cid:e9aec4755604edec,10,733,3.4514,212.38,73.3,70.79,38,263,0.383488,0.923343,0.010556,2.992025,4,1.0,data
browse_session1,2,cid:e9aec4755604edec,6,471,3.777,124.7,78.5,82.53,40,263,0.75539,1.445606,6.7e-05,3.645925,2,1.0,data
browse_session1,0,5t:142.251.156.119:443-172.17.93.240:63075/17,1174,1340422,3.4479,388768.57,1141.76,337.52,30,1258,0.002939,0.015392,0.0,0.306815,6,0.0,web
browse_session1,1,5t:142.251.156.119:443-172.17.93.240:63075/17,14,487,4.503,108.15,34.79,0.41,34,35,0.346387,0.549228,0.002946,2.055836,8,0.0,web
browse_session1,2,5t:142.251.156.119:443-172.17.93.240:63075/17,5,174,2.7318,63.69,34.8,2.71,33,40,0.682946,0.757831,0.020446,1.903373,3,0.0,web
browse_session1,0,cid:e33bd821a6913e04,442,50770,3.4159,14862.84,114.86,238.32,37,1258,0.007746,0.021026,4.4e-05,0.232327,5,1.0,web
browse_session1,1,cid:e33bd821a6913e04,15,555,4.5038,123.23,37.0,0.0,37,37,0.321702,0.532046,0.00388,2.038913,7,1.0,web
browse_session1,2,cid:e33bd821a6913e04,6,226,2.7807,81.28,37.67,1.49,37,41,0.556131,0.725559,0.040483,1.915928,3,1.0,web
browse_session1,0,5t:142.250.77.99:443-172.17.93.240:55971/17,48,49848,0.0725,687963.68,1038.5,444.07,31,1258,0.001542,0.002607,0.0,0.016109,1,0.0,web
browse_session1,0,5t:172.17.93.240:55352-172.217.24.162:443/17,18,10390,0.2612,39775.56,577.22,560.3,29,1258,0.015366,0.021173,0.0,0.068663,1,0.0,web
browse_session1,0,5t:142.250.66.10:443-172.17.93.240:60027/17,19,10476,0.4062,25788.0,551.37,529.78,32,1258,0.022569,0.066776,0.0,0.292354,2,0.0,web
browse_session1,0,cid:e94b7a75ebeac910,10,2770,0.4042,6853.71,277.0,468.92,39,1258,0.044907,0.090307,0.000121,0.297049,2,1.0,web
browse_session1,0,5t:142.251.221.110:443-172.17.93.240:50476/17,95,96865,0.2872,337325.51,1019.63,449.44,31,1258,0.003055,0.00613,0.0,0.049253,1,0.0,web
browse_session1,0,5t:142.251.220.110:443-172.17.93.240:58365/17,20,11119,0.1921,57893.87,555.95,542.38,32,1258,0.010108,0.022928,0.0,0.097123,1,0.0,web
browse_session1,0,5t:172.17.93.240:50316-216.239.34.223:443/17,2847,3567095,4.9444,721437.73,1252.93,76.27,31,1258,0.001737,0.012197,0.0,0.259074,23,0.0,web
browse_session1,1,5t:172.17.93.240:50316-216.239.34.223:443/17,4644,5830793,4.9991,1166363.99,1255.55,53.22,34,1258,0.001077,0.007359,0.0,0.271039,13,0.0,web
browse_session1,2,5t:172.17.93.240:50316-216.239.34.223:443/17,4324,5428292,5.0,1085661.04,1255.39,53.63,33,1258,0.001157,0.003186,0.0,0.112271,2,0.0,web
browse_session1,3,5t:172.17.93.240:50316-216.239.34.223:443/17,2986,3749038,4.9997,749852.54,1255.54,54.86,33,1258,0.001675,0.003206,0.0,0.096446,1,0.0,web
browse_session1,4,5t:172.17.93.240:50316-216.239.34.223:443/17,5087,6383610,4.9998,1276766.93,1254.89,61.49,33,1258,0.000983,0.001778,0.0,0.050012,1,0.0,web
browse_session1,5,5t:172.17.93.240:50316-216.239.34.223:443/17,4686,5886414,4.9996,1177371.22,1256.17,47.31,33,1258,0.001067,0.00299,0.0,0.089559,1,0.0,web
browse_session1,6,5t:172.17.93.240:50316-216.239.34.223:443/17,3657,4589484,4.9993,918031.23,1254.99,60.68,33,1258,0.001367,0.004102,0.0,0.105122,2,0.0,web
browse_session1,7,5t:172.17.93.240:50316-216.239.34.223:443/17,5050,6347473,4.9997,1269560.34,1256.93,35.25,33,1258,0.00099,0.001679,0.0,0.030632,1,0.0,web
browse_session1,8,5t:172.17.93.240:50316-216.239.34.223:443/17,4893,6145594,4.9999,1229144.3,1256.0,49.49,33,1258,0.001022,0.002117,0.0,0.090901,1,0.0,web
browse_session1,9,5t:172.17.93.240:50316-216.239.34.223:443/17,1285,1612880,1.2632,1276833.02,1255.16,58.72,33,1258,0.000984,0.00175,0.0,0.02994,1,0.0,web
browse_session1,0,5t:172.17.93.240:61248-172.217.24.98:443/17,162,198693,1.1058,179690.42,1226.5,186.66,31,1258,0.006868,0.024098,0.0,0.180541,5,0.0,web
browse_session1,0,5t:172.17.93.240:49290-172.217.24.98:443/17,31,32024,0.5755,55650.07,1033.03,444.23,32,1258,0.019182,0.043228,0.0,0.191079,3,0.0,web
browse_session1,0,5t:142.251.221.98:443-172.17.93.240:59008/17,13,7892,0.277,28487.01,607.08,568.02,29,1258,0.023087,0.046402,0.0,0.127984,3,0.0,web
browse_session1,1,5t:142.251.221.98:443-172.17.93.240:59008/17,104,67666,3.5546,19036.43,650.63,600.51,30,1258,0.03451,0.145266,0.0,1.252013,7,0.0,web
browse_session1,2,5t:142.251.221.98:443-172.17.93.240:59008/17,7,604,1.1229,537.87,86.29,119.63,31,379,0.187157,0.299886,0.005227,0.854164,3,0.0,web
browse_session1,3,5t:142.251.221.98:443-172.17.93.240:59008/17,9,1207,0.3423,3526.07,134.11,142.22,32,419,0.042788,0.026028,0.002529,0.075473,1,0.0,web
browse_session1,0,cid:e70eb566094869fa,9,2604,0.1728,15070.48,289.33,445.43,40,1258,0.021599,0.038614,0.000304,0.119328,2,1.0,web
browse_session1,1,cid:e70eb566094869fa,68,9110,3.5278,2582.36,133.97,240.72,39,1026,0.052653,0.173133,0.001286,1.238963,5,1.0,web
browse_session1,2,cid:e70eb566094869fa,7,1445,1.1086,1303.47,206.43,331.17,41,1002,0.184764,0.291597,0.005074,0.832988,3,1.0,web
browse_session1,3,cid:e70eb566094869fa,9,3358,0.5128,6548.75,373.11,465.91,41,1034,0.064096,0.057469,0.006678,0.195201,2,1.0,web
browse_session1,0,5t:142.250.77.99:443-172.17.93.240:59832/17,35,35076,0.3017,116245.71,1002.17,475.64,31,1258,0.008875,0.02979,0.0,0.138733,3,0.0,web
browse_session1,0,5t:142.250.77.130:443-172.17.93.240:52513/17,27,23339,0.2029,115042.83,864.41,534.14,32,1258,0.007803,0.016389,0.0,0.070283,1,0.0,web
browse_session1,1,5t:142.250.77.130:443-172.17.93.240:52513/17,15,14139,0.1092,129439.59,942.6,523.02,32,1258,0.007802,0.018758,0.0,0.062505,1,0.0,web
browse_session1,0,5t:142.250.67.33:443-172.17.93.240:57805/17,18,12839,0.1771,72492.37,713.28,583.93,32,1258,0.010418,0.016334,0.000506,0.064913,1,0.0,web
browse_session1,0,5t:142.251.221.98:443-172.17.93.240:54427/17,78,83403,0.2962,281580.46,1069.27,423.28,30,1258,0.003847,0.015316,0.0,0.099839,1,0.0,web
browse_session1,0,5t:142.250.77.130:443-172.17.93.240:59767/17,38,32583,1.5851,20556.16,857.45,549.26,29,1258,0.04284,0.184062,0.0,1.130291,3,0.0,web
browse_session1,0,5t:142.251.221.98:443-172.17.93.240:53522/17,32,32093,0.2111,152003.54,1002.91,472.47,31,1258,0.006811,0.029248,0.0,0.165885,2,0.0,web
