service,session,window,ip_a,ip_b,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
youtube,4,0,172.17.93.240,49.44.142.243,1023,1009561,0.8615,1171836.59,986.86,504.77,31,1258,0.000843,0.001783,0.0,0.030109,1,0.2199,video
youtube,4,0,142.251.12.132,172.17.93.240,23,17251,3.2447,5316.6,750.04,557.56,32,1258,0.147488,0.58909,0.0,2.843143,3,0.3913,web
youtube,4,1,142.251.12.132,172.17.93.240,10,3378,2.4482,1379.78,337.8,462.65,32,1254,0.272024,0.645379,0.0,2.092177,3,0.4,web
youtube,4,2,142.251.12.132,172.17.93.240,5,2052,0.1405,14609.59,410.4,462.49,32,1254,0.035114,0.035464,0.0,0.079592,1,0.4,web
youtube,4,3,142.251.12.132,172.17.93.240,11,3356,0.3226,10403.81,305.09,454.0,32,1258,0.032257,0.035945,0.0,0.094484,1,0.4545,web
youtube,4,4,142.251.12.132,172.17.93.240,7,2852,0.1374,20754.12,407.43,538.42,32,1258,0.022903,0.023709,0.0,0.056936,1,0.4286,web
youtube,4,0,172.17.93.240,49.44.139.172,766,748175,0.6051,1236423.85,976.73,510.92,31,1258,0.000791,0.001587,0.0,0.025792,1,0.2258,video
youtube,4,0,172.17.93.240,49.44.227.77,2777,2928442,2.3872,1226735.23,1054.53,453.6,31,1258,0.00086,0.002285,0.0,0.065547,1,0.1664,video
youtube,4,1,172.17.93.240,49.44.227.77,8,3438,0.0421,81716.94,429.75,498.94,30,1258,0.00601,0.006938,0.0,0.017095,1,0.5,video
youtube,4,0,172.17.93.240,49.44.212.81,28,17982,0.1319,136357.59,642.21,566.89,32,1258,0.004884,0.010366,0.0,0.033581,1,0.4286,data
youtube,4,0,172.17.93.240,49.44.142.242,1112,1070146,0.9492,1127383.87,962.36,520.32,31,1258,0.000854,0.002824,0.0,0.077241,1,0.2401,video
youtube,4,1,172.17.93.240,49.44.142.242,64,63366,0.076,833373.89,990.09,491.68,33,1258,0.001207,0.003233,0.0,0.017966,1,0.2031,video
youtube,4,2,172.17.93.240,49.44.142.242,1171,1144000,0.9744,1174043.14,976.94,511.44,31,1258,0.000833,0.002749,0.0,0.067699,1,0.2272,video
